Device,Reg,Bit
CKMN,0x6,26
MCHECK,0x6,25
EFS,0x6,24
SPI0,0x6,23
UART0,0x6,22
TIMER0,0x6,21
APB_WDT,0x6,20
FLASH,0x6,10
SYS,0x6,9
AON,0x6,8
LA,0x7,6
DMA1,0x7,5
DMA0,0x7,4
PWM1,0x8,27
SCLD,0x8,26
SDIO,0x8,25
TRNG,0x8,24
IRDA,0x8,23
PWM0,0x8,22
SADC,0x8,21
SPI1,0x8,20
I2C1,0x8,19
I2C0,0x8,18
UART2,0x8,17
UART1,0x8,16
SDMADC,0x8,15
TIMER1,0x8,14
LIN,0x9,18
SCR,0x9,17
ENET,0x9,12
PSRAM,0x9,11
QSPI1,0x9,10
QSPI0,0x9,9
CAN,0x9,8
USB,0x9,7
I2S2,0xa,12
I2S1,0xa,11
I2S0,0xa,10
AUD,0xa,9
SBC,0xa,2
H264,0xb,20
SCAL1,0xb,16
SCAL0,0xb,15
ROTT,0xb,14
DMAD,0xb,13
DISP,0xb,12
JPGD,0xb,11
YUV,0xb,10
JPGE,0xb,9
MOD,0xc,3
MAC,0xc,2
XVR,0xd,6
BTDM,0xd,2
PPRO_MPC,0xe,2
MBOX_AHB,0xe,1
